2025-01-29 14:04:00 - $GPCHC,2351,299051.00,0.00,0.23,1.75,0.53,-0.08,0.07,-0.0305,0.0040,0.9994,38.69206181,35.62016219,1407.58,0.054,0.000,0.308,0.054,13,0,61,0,0002*6E


2025-01-29 14:04:01 - $GPCHC,2351,299052.00,0.00,0.25,1.73,0.51,-0.09,0.01,-0.0302,0.0044,0.9994,38.69205787,35.62016279,1408.60,0.188,-0.240,0.737,0.305,14,0,61,0,0002*49


2025-01-29 14:04:02 - $GPCHC,2351,299053.00,0.00,0.24,1.72,0.49,-0.12,0.04,-0.0300,0.0042,0.9992,38.69205091,35.62017431,1410.21,0.258,-0.302,0.669,0.398,15,0,61,0,0002*4D


2025-01-29 14:04:03 - $GPCHC,2351,299054.00,0.00,0.25,1.72,0.49,-0.13,0.04,-0.0301,0.0043,0.9993,38.69204889,35.62017348,1407.92,0.235,-0.181,0.495,0.296,16,0,61,0,0002*43


2025-01-29 14:04:04 - $GPCHC,2351,299055.00,0.00,0.25,1.74,0.52,-0.10,0.10,-0.0304,0.0043,0.9993,38.69204973,35.62017105,1405.84,-0.038,0.098,-0.123,0.105,16,0,61,0,0002*6D


2025-01-29 14:04:05 - $GPCHC,2351,299056.00,0.00,0.25,1.73,0.53,-0.11,0.05,-0.0301,0.0043,0.9992,38.69205339,35.62015811,1401.21,-0.142,0.123,-0.193,0.188,13,0,61,0,0002*6F


2025-01-29 14:04:06 - $GPCHC,2351,299057.00,0.00,0.25,1.73,0.47,-0.10,0.07,-0.0301,0.0043,0.9989,38.69205383,35.62015936,1400.41,-0.094,-0.111,0.113,0.145,15,0,61,0,0002*64


2025-01-29 14:04:07 - $GPCHC,2351,299058.00,0.00,0.25,1.73,0.47,-0.08,-0.01,-0.0302,0.0043,0.9991,38.69205126,35.62018122,1402.15,-0.095,0.100,-0.189,0.138,16,0,61,0,0002*46


2025-01-29 14:04:08 - $GPCHC,2351,299059.00,0.00,0.26,1.73,0.49,-0.07,0.03,-0.0302,0.0045,0.9990,38.69207370,35.62014678,1420.65,0.173,-0.474,0.419,0.504,13,0,61,0,0002*4D


2025-01-29 14:04:09 - $GPCHC,2351,299060.00,0.00,0.26,1.72,0.47,-0.09,-0.01,-0.0300,0.0045,0.9993,38.69209528,35.62011354,1433.43,0.055,-0.174,0.264,0.183,14,0,61,0,0002*65


2025-01-29 14:04:10 - $GPCHC,2351,299061.00,0.00,0.25,1.73,0.46,-0.06,0.07,-0.0302,0.0043,0.9989,38.69209294,35.62012085,1433.88,0.070,-0.226,0.566,0.236,14,0,61,0,0002*4C


2025-01-29 14:04:11 - $GPCHC,2351,299062.00,0.00,0.26,1.74,0.50,-0.08,0.04,-0.0304,0.0045,0.9989,38.69210320,35.62010177,1440.30,0.059,-0.201,0.450,0.210,12,0,61,0,0002*46


2025-01-29 14:04:12 - $GPCHC,2351,299063.00,0.00,0.26,1.73,0.47,-0.11,0.08,-0.0302,0.0045,0.9993,38.69210117,35.62009930,1441.20,0.023,-0.099,0.034,0.101,12,0,61,0,0002*41


2025-01-29 14:04:13 - $GPCHC,2351,299064.00,0.00,0.26,1.73,0.50,-0.08,0.06,-0.0303,0.0045,0.9997,38.69210416,35.62009475,1440.38,-0.087,0.180,0.096,0.200,12,0,61,0,0002*4E


2025-01-29 14:04:14 - $GPCHC,2351,299065.00,0.00,0.26,1.73,0.49,-0.08,0.06,-0.0302,0.0045,0.9993,38.69210283,35.62009617,1439.46,0.016,0.149,-0.504,0.150,12,0,61,0,0002*4C


2025-01-29 14:04:15 - $GPCHC,2351,299066.00,0.00,0.24,1.74,0.45,-0.08,0.04,-0.0303,0.0041,0.9988,38.69214268,35.62018632,1437.70,0.288,-0.250,0.180,0.382,13,0,61,0,0002*4C


2025-01-29 14:04:16 - $GPCHC,2351,299067.00,0.00,0.24,1.74,0.49,-0.09,0.00,-0.0304,0.0043,0.9988,38.69215045,35.62015425,1438.87,0.093,-0.051,0.296,0.106,12,0,61,0,0002*43


2025-01-29 14:04:17 - $GPCHC,2351,299068.00,0.00,0.25,1.73,0.47,-0.10,0.03,-0.0302,0.0044,0.9991,38.69216271,35.62015887,1438.24,0.408,0.040,0.664,0.410,12,0,61,0,0002*6D


2025-01-29 14:04:18 - $GPCHC,2351,299069.00,0.00,0.25,1.72,0.51,-0.08,0.06,-0.0299,0.0043,0.9987,38.69210603,35.62022362,1431.36,0.003,-0.003,0.052,0.004,13,0,61,0,0002*4A


2025-01-29 14:04:19 - $GPCHC,2351,299070.00,0.00,0.26,1.74,0.49,-0.08,0.05,-0.0304,0.0045,0.9984,38.69211360,35.62020508,1431.01,-0.066,-0.103,-0.157,0.122,15,0,61,0,0002*45


2025-01-29 14:04:20 - $GPCHC,2351,299071.00,0.00,0.26,1.73,0.48,-0.10,0.04,-0.0301,0.0045,0.9990,38.69211694,35.62020128,1431.32,0.073,0.023,-0.001,0.077,14,0,61,0,0002*47


2025-01-29 14:04:21 - $GPCHC,2351,299072.00,0.00,0.25,1.73,0.50,-0.11,0.02,-0.0302,0.0044,0.9990,38.69211694,35.62020128,1431.32,0.073,0.023,-0.001,0.077,14,0,61,0,0002*4B


2025-01-29 14:04:22 - $GPCHC,2351,299073.00,0.00,0.25,1.74,0.48,-0.08,0.03,-0.0303,0.0044,0.9993,0.00000000,0.00000000,0.00,0.000,0.000,0.000,0.000,14,0,00,0,0002*51


2025-01-29 14:04:23 - $GPCHC,2351,299074.00,0.00,0.26,1.72,0.48,-0.09,0.06,-0.0300,0.0045,0.9994,0.00000000,0.00000000,0.00,0.000,0.000,0.000,0.000,14,0,00,0,0002*52


2025-01-29 14:04:24 - $GPCHC,2351,299075.00,0.00,0.26,1.73,0.51,-0.09,0.06,-0.0302,0.0046,0.9991,38.69225114,35.62023124,1426.41,-0.279,-0.114,-0.435,0.301,14,0,61,0,0002*49


2025-01-29 14:04:25 - $GPCHC,2351,299076.00,0.00,0.27,1.73,0.49,-0.09,0.02,-0.0302,0.0046,0.9996,38.69226280,35.62024134,1429.59,-0.363,-0.005,-0.925,0.364,15,0,61,0,0002*49


2025-01-29 14:04:26 - $GPCHC,2351,299077.00,0.00,0.25,1.73,0.48,-0.11,0.09,-0.0301,0.0043,0.9995,38.69226249,35.62024957,1430.87,-0.083,-0.330,-0.515,0.340,14,0,61,0,0002*4F


2025-01-29 14:04:27 - $GPCHC,2351,299078.00,0.00,0.25,1.72,0.50,-0.11,0.05,-0.0301,0.0044,0.9991,38.69226249,35.62024957,1430.87,-0.083,-0.330,-0.515,0.340,16,0,61,0,0002*45


