2025-01-29 13:32:40 - $GPCHC,2351,297171.00,0.00,0.91,1.03,0.55,-0.10,0.06,-0.0180,0.0158,0.9989,38.69240066,35.62008584,1409.13,-0.211,-0.006,-0.076,0.211,14,0,61,0,0002*4F

2025-01-29 13:32:41 - $GPCHC,2351,297172.00,0.00,0.92,1.05,0.51,-0.03,0.06,-0.0183,0.0161,0.9991,38.69240123,35.62009454,1410.05,-0.617,-0.085,-1.033,0.623,11,0,61,0,0002*44

2025-01-29 13:32:42 - $GPCHC,2351,297173.00,0.00,0.91,1.03,0.55,-0.04,0.07,-0.0180,0.0159,0.9987,38.69236997,35.62013649,1418.97,-0.278,-0.405,-0.567,0.492,12,0,61,0,0002*42

2025-01-29 13:32:43 - $GPCHC,2351,297174.00,0.00,0.92,1.06,0.51,-0.06,0.04,-0.0185,0.0161,0.9997,38.69223836,35.62035757,1453.55,-0.407,-0.430,-0.653,0.592,10,0,61,0,0002*43

2025-01-29 13:32:44 - $GPCHC,2351,297175.00,0.00,0.91,1.05,0.49,-0.11,0.03,-0.0183,0.0158,0.9990,38.69223516,35.62035189,1453.75,-0.502,-0.621,-1.420,0.799,10,0,61,0,0002*41

2025-01-29 13:32:45 - $GPCHC,2351,297176.00,0.00,0.91,1.05,0.53,-0.07,0.09,-0.0183,0.0159,0.9986,38.69223931,35.62035603,1453.68,-0.405,-0.798,-1.152,0.895,10,0,61,0,0002*44

2025-01-29 13:32:46 - $GPCHC,2351,297177.00,0.00,0.93,1.06,0.49,-0.09,0.04,-0.0184,0.0162,0.9991,38.69223931,35.62035603,1453.68,-0.405,-0.798,-1.152,0.895,11,0,61,0,0002*44

2025-01-29 13:32:47 - $GPCHC,2351,297178.00,0.00,0.92,1.06,0.50,-0.09,0.05,-0.0185,0.0161,1.0004,0.00000000,0.00000000,0.00,0.000,0.000,0.000,0.000,12,0,00,0,0002*51

2025-01-29 13:32:48 - $GPCHC,2351,297179.00,0.00,0.91,1.08,0.53,-0.09,0.07,-0.0188,0.0159,1.0001,0.00000000,0.00000000,0.00,0.000,0.000,0.000,0.000,0,0,00,0,0002*6C

2025-01-29 13:32:49 - $GPCHC,2351,297180.00,0.00,0.92,1.07,0.54,-0.09,0.03,-0.0186,0.0161,0.9995,0.00000000,0.00000000,0.00,0.000,0.000,0.000,0.000,14,0,00,0,0002*59

2025-01-29 13:32:50 - $GPCHC,2351,297181.00,0.00,0.91,1.06,0.50,-0.06,0.11,-0.0184,0.0159,0.9994,0.00000000,0.00000000,0.00,0.000,0.000,0.000,0.000,14,0,00,0,0002*5A

2025-01-29 13:32:51 - $GPCHC,2351,297182.00,0.00,0.93,1.04,0.52,-0.15,0.02,-0.0182,0.0163,0.9993,0.00000000,0.00000000,0.00,0.000,0.000,0.000,0.000,16,0,00,0,0002*51

2025-01-29 13:32:52 - $GPCHC,2351,297183.00,0.00,0.92,1.07,0.52,-0.09,0.03,-0.0186,0.0160,0.9992,0.00000000,0.00000000,0.00,0.000,0.000,0.000,0.000,18,0,00,0,0002*56

2025-01-29 13:32:53 - $GPCHC,2351,297184.00,0.00,0.92,1.07,0.49,-0.09,0.06,-0.0187,0.0161,0.9991,38.69219484,35.62078686,1548.65,0.088,-0.075,-0.258,0.116,17,0,61,0,0002*66

2025-01-29 13:32:54 - $GPCHC,2351,297185.00,0.00,0.92,1.03,0.52,-0.07,0.10,-0.0180,0.0160,0.9991,38.69219484,35.62078686,1548.65,0.088,-0.075,-0.258,0.116,18,0,61,0,0002*69

2025-01-29 13:32:55 - $GPCHC,2351,297186.00,0.00,0.90,1.04,0.51,-0.09,0.07,-0.0182,0.0157,0.9994,38.69195956,35.62033164,1482.12,-0.009,0.018,0.131,0.020,20,0,61,0,0002*4D

2025-01-29 13:32:56 - $GPCHC,2351,297187.00,0.00,0.92,1.11,0.53,-0.06,0.05,-0.0193,0.0160,1.0001,38.69196176,35.62033805,1481.75,-0.079,0.055,-0.302,0.096,19,0,61,0,0002*6F

2025-01-29 13:32:57 - $GPCHC,2351,297188.00,0.00,0.95,1.12,0.52,-0.09,0.04,-0.0196,0.0165,1.0001,38.69224337,35.62022196,1393.98,0.029,-0.019,0.078,0.034,19,0,61,0,0002*44

2025-01-29 13:32:58 - $GPCHC,2351,297189.00,0.00,0.92,1.04,0.50,-0.10,0.04,-0.0182,0.0161,0.9991,38.69224337,35.62022196,1393.98,0.029,-0.019,0.078,0.034,19,0,61,0,0002*46

